SampleID	TaxonID	GID	number	colldate	flowering_season_start	growing_season_start	elevation	latitude	longitude	dist	GR
SEEDGWAS1071	SEEDGWAS1071.MRG.4.250067771	G30235	CIMMYTMA-029466	2007-08-17	7	5	178	21.4	-98.77	5.02650852558493	CIMMYTMA
SEEDGWAS1073	SEEDGWAS1073.MRG.4.250067772	G30242	CIMMYTMA-029470	2007-08-17	7	5	178	21.4	-98.77	5.02650852558493	CIMMYTMA
SEEDGWAS1074	SEEDGWAS1074.MRG.4.250067773	G30256	CIMMYTMA-029489	2007-11-06	7	5	400	21.53	-98.95	5.23506968986832	CIMMYTMA
SEEDGWAS1075	SEEDGWAS1075.MRG.4.250067774	G30267	CIMMYTMA-029497	2007-11-06	7	5	872	21.393081	-99.010927	5.15836789384316	CIMMYTMA
SEEDGWAS1076	SEEDGWAS1076.MRG.4.250067775	G30270	CIMMYTMA-029498	2007-11-06	7	5	872	21.393081	-99.010927	5.15836789384316	CIMMYTMA
SEEDGWAS1083	SEEDGWAS1083.MRG.4.250067780	G30297	CIMMYTMA-029574	2007-08-16	7	5	617	20.966983	-98.172081	4.34229062907586	CIMMYTMA
SEEDGWAS1084	SEEDGWAS1084.MRG.4.250067781	G30300	CIMMYTMA-029577	2007-08-16	7	5	72	20.862778	-97.875988	4.10807355987524	CIMMYTMA
SEEDGWAS1085	SEEDGWAS1085.MRG.4.250067782	G2853	CIMMYTMA-000328	1952-01-01	7	5	1554	20.55	-102.8	7.58802068248222	CIMMYTMA
SEEDGWAS1087	SEEDGWAS1087.MRG.4.250067785	G3684	CIMMYTMA-000428	1952-01-13	7	5	1057	22.031961	-100.21527	6.41064326557055	CIMMYTMA
SEEDGWAS1088	SEEDGWAS1088.MRG.4.250067786	G3698	CIMMYTMA-000436	1952-01-14	7	5	1078	22.05427	-99.816363	6.17207596895153	CIMMYTMA
SEEDGWAS1095	SEEDGWAS1095.MRG.4.250067792	G8647	CIMMYTMA-002036	1967-01-01	7	5	1051	18.75	-99.45	3.79063189689767	CIMMYTMA
SEEDGWAS1096	SEEDGWAS1096.MRG.4.250067793	G8692	CIMMYTMA-002049	1967-01-01	7	5	968	18.68	-99.3	3.62513771569826	CIMMYTMA
SEEDGWAS1110	SEEDGWAS1110.MRG.4.250067808	G20674	CIMMYTMA-007062	1968-01-01	7	5	1181	21.696608	-104.088629	9.26097697929851	CIMMYTMA
SEEDGWAS1126	SEEDGWAS1126.MRG.4.250070139	G24966	CIMMYTMA-015356		7	5	2228	19.01666667	-99	3.51287326854942	CIMMYTMA
SEEDGWAS113	SEEDGWAS113.MRG.4.250054526	G8805	CIMMYTMA-002106	1944-01-01	7	5	42	19.78333333	-90.61666667	5.94885565021638	CIMMYTMA
SEEDGWAS1133	SEEDGWAS1133.MRG.4.250070143	G25453	CIMMYTMA-016306	1952-01-29	7	5	1488	25.2	-104.5333333	11.6976968211221	CIMMYTMA
SEEDGWAS1136	SEEDGWAS1136.MRG.4.250070147	G26337	CIMMYTMA-018516	1952-02-10	7	5	1025	18.78333	-103.15	7.33590818129958	CIMMYTMA
SEEDGWAS1141	SEEDGWAS1141.MRG.4.250070151	G27036	CIMMYTMA-019958		7	5	1213	18.76666667	-98.98333333	3.37675894268456	CIMMYTMA
